Index,University,Artificial Intelligence & Machine Learning,Machine Learning,Data Science & Data Mining,Computer Vision & Image Processing,Natural Language Processing,Systems & Networking,Databases,Security & Privacy,Human Computer Interaction,Theoretical Computer Science,Software Engineering,Computer Graphics & Virtual Reality,Quantum Computing,Interdisciplinary Fields,The Web & Information Retrieval,Continent,Country
1,Massachusetts Institute of Technology,0.0,250.11124400000028,0.0,302.7230710000002,74.60914300000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.062167,North America,United States
2,University of Würzburg,0.0,12.667212,0.0,34.734962,6.321507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1917660000000003,Europe,Germany
3,ETH Zurich,0.0,67.47342099999997,0.0,123.42157200000004,23.998968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.919387999999996,Europe,Switzerland
4,University of Montreal,0.0,74.94215000000001,0.0,110.660219,40.365241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.609481,North America,Canada
5,Univ. of California - Berkeley,0.0,222.59624100000025,0.0,292.4633770000001,83.683668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.44094799999999,North America,United States
6,Stanford University,0.0,184.5217190000001,0.0,240.9864630000001,128.12485999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.72929299999997,North America,United States
7,KAUST,0.0,41.253655,0.0,86.661251,8.434416999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.814054,Asia,Saudi Arabia
8,University of Toronto,0.0,99.571367,0.0,143.9214760000001,34.888615000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.90129,North America,Canada
9,Princeton University,0.0,131.6272720000001,0.0,103.68967700000002,37.678579000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.049144000000005,North America,United States
10,Univ. of California - San Diego,0.0,92.04927,0.0,165.04170200000002,41.696295000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.169454,North America,United States
11,University of Tübingen,0.0,53.24856400000001,0.0,115.93450800000002,0.931335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.170119,Europe,Germany
12,TU Munich,0.0,48.02893999999999,0.0,163.782015,6.804861999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.880769999999998,Europe,Germany
13,York University,0.0,9.261472,0.0,50.049679,9.031815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.484741999999999,North America,Canada
14,Cardiff University,0.0,6.269567,0.0,32.983968,22.826413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.985184999999999,Europe,United Kingdom
15,Nanyang Technological University,0.0,32.394075000000015,0.0,113.88542599999998,25.514666000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.210655,Asia,Singapore
16,University of North Carolina,0.0,22.615935000000004,0.0,55.505659,22.887811000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.814611,North America,United States
17,Carnegie Mellon University,0.0,230.6580190000002,0.0,255.89059500000025,121.755141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.03469100000001,North America,United States
18,University of Copenhagen,0.0,23.192459000000017,0.0,35.15222299999999,53.15436799999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.383175,Europe,Denmark
19,Australian National University,0.0,15.079586,0.0,67.522235,13.269976000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.460884,Australasia,Australia
20,University of Freiburg,0.0,15.49685,0.0,47.629075,7.750642999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.048019,Europe,Germany
21,Tel Aviv University,0.0,92.996139,0.0,85.89722300000004,40.188006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.969725,Asia,Israel
22,Georgia Institute of Technology,0.0,63.64573599999999,0.0,91.39088499999995,28.95738400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.630414,North America,United States
23,POSTECH,0.0,9.540091,0.0,82.89069099999999,1.893492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.30225,Asia,South Korea
24,Michigan State University,0.0,16.451657,0.0,50.69025400000001,2.663447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.202459,North America,United States
25,Johns Hopkins University,0.0,54.93145499999997,0.0,88.46565900000003,51.729089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.981793,North America,United States
26,Weizmann Institute of Science,0.0,39.752602,0.0,60.351166000000006,0.301475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.131213,Asia,Israel
27,Czech Technical University,0.0,9.268919,0.0,102.95648599999996,1.049237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.004585,Europe,Czech Republic
28,UCCS,0.0,5.028131999999999,0.0,24.415507,1.808865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.386884,North America,United States
29,TU Darmstadt,0.0,25.055443,0.0,77.69633400000001,23.80513700000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.284951999999997,Europe,Germany
30,HKUST,0.0,37.65809500000001,0.0,127.13112499999995,34.795841999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.67894699999999,Asia,Hong Kong
31,EPFL,0.0,93.34564,0.0,147.47206500000007,27.032909000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.832996,Europe,Switzerland
32,Brown University,0.0,35.890338,0.0,45.925948000000005,12.307434999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.045932999999999,North America,United States
33,University of Michigan,0.0,66.67244499999998,0.0,90.968372,34.57097499999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.59397000000001,North America,United States
34,Univ. of California - Merced,0.0,10.483125,0.0,27.693236,0.703259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094374,North America,United States
35,University of Amsterdam,0.0,36.006196000000024,0.0,59.437270000000005,38.792839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.70175899999999,Europe,Netherlands
36,Macquarie University,0.0,7.76439,0.0,26.120591,13.433514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.345365000000005,Australasia,Australia
37,California Institute of Technology,0.0,37.48074800000001,0.0,58.25995700000001,3.555807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.248435,North America,United States
38,TU Braunschweig,0.0,2.698822,0.0,21.066944,0.301475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.676942,Europe,Germany
