Faculty Name,University,Conference,Category,Score,Source File,Matched
Kaiming He,Massachusetts Institute of Technology,ECCV,Computer Vision & Image Processing,11.506828,ECCV_log.csv,Yes
Radu Timofte,University of Würzburg,ECCV,Computer Vision & Image Processing,10.668063,ECCV_log.csv,Yes
Luc Van Gool,ETH Zurich,ECCV,Computer Vision & Image Processing,10.532261,ECCV_log.csv,Yes
Yoshua Bengio,University of Montreal,ECCV,Computer Vision & Image Processing,10.169922,ECCV_log.csv,Yes
Alexei A. Efros,Univ. of California - Berkeley,ECCV,Computer Vision & Image Processing,10.075236,ECCV_log.csv,Yes
Li Fei-Fei 0001,Stanford University,ECCV,Computer Vision & Image Processing,9.916607,ECCV_log.csv,Yes
Peter Wonka,KAUST,ECCV,Computer Vision & Image Processing,9.076574,ECCV_log.csv,Yes
Jimmy Ba,University of Toronto,ECCV,Computer Vision & Image Processing,9.021184,ECCV_log.csv,Yes
Jia Deng 0001,Princeton University,ECCV,Computer Vision & Image Processing,8.867399,ECCV_log.csv,Yes
Leonidas J. Guibas,Stanford University,ECCV,Computer Vision & Image Processing,8.772716,ECCV_log.csv,Yes
Jitendra Malik,Univ. of California - Berkeley,ECCV,Computer Vision & Image Processing,8.574853,ECCV_log.csv,Yes
Nuno Vasconcelos,Univ. of California - San Diego,ECCV,Computer Vision & Image Processing,8.51917,ECCV_log.csv,Yes
Gerard Pons-Moll,University of Tübingen,ECCV,Computer Vision & Image Processing,8.470145,ECCV_log.csv,Yes
Andreas Geiger 0001,University of Tübingen,ECCV,Computer Vision & Image Processing,8.446516,ECCV_log.csv,Yes
David A. Wagner 0001,Univ. of California - Berkeley,ECCV,Computer Vision & Image Processing,8.274271,ECCV_log.csv,Yes
Matthias Nießner,TU Munich,ECCV,Computer Vision & Image Processing,8.216913,ECCV_log.csv,Yes
Trevor Darrell,Univ. of California - Berkeley,ECCV,Computer Vision & Image Processing,8.176225,ECCV_log.csv,Yes
Michael S. Brown,York University,ECCV,Computer Vision & Image Processing,8.061011,ECCV_log.csv,Yes
Yipeng Qin,Cardiff University,ECCV,Computer Vision & Image Processing,8.008074,ECCV_log.csv,Yes
Chen Change Loy,Nanyang Technological University,ECCV,Computer Vision & Image Processing,7.754642,ECCV_log.csv,Yes
Gedas Bertasius,University of North Carolina,ECCV,Computer Vision & Image Processing,7.723489,ECCV_log.csv,Yes
Antonio Torralba 0001,Massachusetts Institute of Technology,ECCV,Computer Vision & Image Processing,7.606041,ECCV_log.csv,Yes
Hao Su 0001,Univ. of California - San Diego,ECCV,Computer Vision & Image Processing,7.548256,ECCV_log.csv,Yes
Deva Ramanan,Carnegie Mellon University,ECCV,Computer Vision & Image Processing,7.532397,ECCV_log.csv,Yes
Kai Li 0001,Princeton University,ECCV,Computer Vision & Image Processing,7.505961,ECCV_log.csv,Yes
Angela Dai,TU Munich,ECCV,Computer Vision & Image Processing,7.477431,ECCV_log.csv,Yes
Serge J. Belongie,University of Copenhagen,ECCV,Computer Vision & Image Processing,7.292416,ECCV_log.csv,Yes
Stephen Gould,Australian National University,ECCV,Computer Vision & Image Processing,7.238104,ECCV_log.csv,Yes
Frank Hutter,University of Freiburg,ECCV,Computer Vision & Image Processing,7.234898,ECCV_log.csv,Yes
Daniel Cohen-Or,Tel Aviv University,ECCV,Computer Vision & Image Processing,7.153029,ECCV_log.csv,Yes
Louis-Philippe Morency,Carnegie Mellon University,ECCV,Computer Vision & Image Processing,7.093392,ECCV_log.csv,Yes
James Hays,Georgia Institute of Technology,ECCV,Computer Vision & Image Processing,7.031394,ECCV_log.csv,Yes
Suha Kwak,POSTECH,ECCV,Computer Vision & Image Processing,6.987558,ECCV_log.csv,Yes
Xiaoming Liu 0002,Michigan State University,ECCV,Computer Vision & Image Processing,6.982424,ECCV_log.csv,Yes
Rama Chellappa,Johns Hopkins University,ECCV,Computer Vision & Image Processing,6.933221,ECCV_log.csv,Yes
Yaron Lipman,Weizmann Institute of Science,ECCV,Computer Vision & Image Processing,6.921449,ECCV_log.csv,Yes
Josef Sivic,Czech Technical University,ECCV,Computer Vision & Image Processing,6.908222,ECCV_log.csv,Yes
Terrance E. Boult,UCCS,ECCV,Computer Vision & Image Processing,6.852143,ECCV_log.csv,Yes
Stefan Roth 0001,TU Darmstadt,ECCV,Computer Vision & Image Processing,6.81068,ECCV_log.csv,Yes
